article_title	article_author	article_publication_date	article_content
Jokowi Resmikan Stadion Utama Sumut, Telan Anggaran Rp 587 Miliar	Finta Rahyuni - detikSumut	Selasa, 15 Okt 2024 18:10 WIB	"Presiden Joko Widodo meresmikan Stadion Utama Sumut yang terletak di Desa Sena, Kecamatan Batang Kuis, Kabupaten Deli Serdang. Stadion itu menghabiskan anggaran sekitar Rp 587 miliar.
Pantauan detikSumut, Selasa (15/10/2024), peresmian dilakukan di dalam Stadion Utama Sumut. Jokowi tiba di lokasi sekira pukul 17.20 WIB.
Sejumlah pejabat, seperti Menteri Perhubungan Budi Karya Sumadi, Menteri Dalam Negeri (Mendagri) Tito Karnavian dan Pj Gubernur Sumatera Agus Fatoni, tampak mendampingi Jokowi. Peresmian itu ditandai dengan pengenalan tombol sirene dan penandatanganan prasasti oleh Jokowi.
Jokowi mengatakan Stadion Utama Sumut ini merupakan stadion yang besar dan megah. Dia juga menjelaskan bahwa stadion ini telah digunakan saat penutupan PON Aceh-Sumut.
""Sumut saat ini memiliki stadion yang sangat besar dan sangat mewah, seperti yang kita lihat pada sore hari ini. Ini kemarin sudah dipakai saat penutupan PON, karena stadionnya baru, semuanya baru dan sangat bagus,"" kata Jokowi di Stadion Utama Sumut.
Jokowi menyebut stadion ini berkapasitas 25 ribu penonton. Pembangun stadion ini menghabiskan anggaran Rp 587 miliar.
""Kapasitasnya 25 ribu penonton dan menghabiskan anggaran Rp 587 miliar,"" ujarnya.
Jokowi berharap stadion ini bisa terawat dan berguna bagi kemajuan olahraga di Sumut. ""Kita harapkan stadion yang megah dan mewah ini terus terawat dan berguna pembinaan olahraga di Sumut,"" pungkasnya."
Jokowi Curhat Tingkat Kepuasan Rakyat Anjlok Gara-gara Naikkan Harga BBM	Herdi Alif Al Hikam - detikFinance	Jumat, 11 Okt 2024 14:44 WIB	"Presiden Joko Widodo (Jokowi) bercerita tingkat kepuasan masyarakat atau approval rating terhadap dirinya sebagai Presiden pernah anjlok. Pemicunya kebijakan memangkas subsidi BBM, sehingga harga mau tidak mau naik.
Jokowi mengatakan approval rating yang dimilikinya berada di level 72%. Namun, ketika memutuskan kenaikan harga BBM, jumlahnya pun turun drastis ke 43%.
""Kembali ke 10 tahun lalu saya ingat dulu pernah saya melakukan pengalihan subsidi BBM, subsidi kita potong, tapi harganya tentu naik. Saat itu saya ingat approval rating saya 72%, karena naikkan BBM jadi melorot 43%,"" ungkap Jokowi di depan bos-bos yang tergabung dalam Kompas 100 CEO Forum, Jumat (11/10/2024).
Namun, Jokowi mengaku, approval rating turun adalah risiko yang memang sengaja dia ambil. Sebab sebetulnya sudah ada perhitungan terukur di balik rencana kenaikan harga BBM kala itu.
""Tapi sudah saya hitung, itu sebuah risiko yang harus diambil dalam memutuskan sesuatu yang harus kita rencanakan dan diukur, dan semua harus berani atau tidak, saya putuskan berani. Maka jatuh 72% jatuh ke 43%,"" papar Jokowi.
Eks Gubernur DKI Jakarta itu menjelaskan usai dirinya melakukan kenaikan harga BBM, ruang fiskal anggaran pemerintah pun jadi meningkat. Ada sekitar Rp 170 triliunan anggaran yang jadi longgar usai kebijakan itu, ini lah yang jadi modal Jokowi untuk membesut agenda pembangunan infrastruktur secara masif.
""Maka dari situ lah kita ada ruang fiskal yang lebih besar, melompat ruang fiskal kita, jadi Rp 170 triliunan saat itu. Dari situ lah kita berangkat membangun yang namanya infrastruktur,"" ungkap Jokowi."
Jokowi Minta Stadion Utama Sumut Dipakai PSMS atau PSDS	Finta Rahyuni - detikSumut	Selasa, 15 Okt 2024 18:25 WIB	"Presiden Joko Widodo meresmikan Stadion Utama Sumut di Kabupaten Deli Serdang, Sumatera Utara (Sumut). Jokowi meminta stadion itu dapat digunakan oleh klub-klub bola asal Sumut, seperti PSMS Medan dan PSDS Deli Serdang.
""Saya yang titip agar setelah PON dan setelah hari ini, stadion dan fasilitasnya segera diserahkan kepada pemakai. Kalau stadion ini bisa diserahkan kepada klub-klub sepakbola di Sumut, entah itu PSMS, PSDS atau yang lain,"" kata Jokowi usai meresmikan Stadion Utama Sumut, Selasa (15/10/2024).
Jokowi mengatakan hal itu dilakukan agar stadion itu tetap terawat. Dia menyebut ada beberapa stadion di Indonesia yang tidak terawat setelah gelaran PON selesai. Oleh karena itu, Jokowi tidak ingin hal serupa terjadi kepada Stadion Utama Sumut.
""Karena dari pengalaman kita, di provinsi lain, fasilitas olahraga dibangun, setelah PON, semuanya tidak teratur, saya sudah lihat, tidak hanya satu, dua, tiga, empat, semuanya, karena tidak ada yang pakai, tidak ada yang merawat. Jangan sampai kejadian itu terjadi di Sumut,"" ujarnya.
Jokowi mengatakan Stadion Utama Sumut ini merupakan stadion yang besar dan megah. Dia juga menjelaskan bahwa stadion ini telah digunakan saat penutupan PON Aceh-Sumut.
""Sumut saat ini memiliki stadion yang sangat besar dan sangat mewah, seperti yang kita lihat pada sore hari ini. Ini kemarin sudah dipakai saat penutupan PON, karena stadionnya baru, semuanya baru dan sangat bagus,"" kata Jokowi.
Dia mengatakan stadion ini berkapasitas 25 ribu penonton. Pembangun stadion ini menghabiskan anggaran Rp 587 miliar.
""Kapasitasnya 25 ribu penonton dan menghabiskan anggaran Rp 587 miliar,"" ujarnya.
Jokowi berharap stadion ini bisa terawat dan berguna bagi olahraga di Sumut. ""Kita harapkan stadion yang megah dan mewah ini terus terawat dan berguna pembinaan olahraga di Sumut,"" pungkasnya ."
Jokowi Minta Pasar Domestik Dilindungi gegara Banjir Produk Impor China	Fadilah Kemala P - detikSumut	Jumat, 11 Okt 2024 05:00 WIB	
Jokowi Kutuk Penyerangan Israel Terhadap Pasukan Perdamaian TNI di Lebanon	Agus Setyadi - detikSumut	Selasa, 15 Okt 2024 15:50 WIB	"Militer Israel menyerang pasukan penjaga perdamaian PBB di markas United Nations Interim Force in Lebanon (UNIFIL) dan melukai dua personel TNI. Presiden Joko Widodo mengutuk keras serangan tersebut.
""Indonesia mengutuk keras serangan Israel baik ke Gaza, Lebanon, dan yang terakhir ke Unifil di Lebanon,"" kata Jokowi usai meresmikan Gedung Aneuk Muda Aceh Unggul Hebat (AMANAH) di Kawasan Industri Aceh (KIA) Ladong, Aceh Besar, Selasa (15/10/2024).
Menurutnya, pasukan perdamaian tidak boleh diserang apalagi sampai ada yang terluka. Dia kembali mengatakan mengutuk keras tindakan militer Israel tersebut.
""Mengutuk keras, nggak boleh itu yang namanya pasukan perdamaian ikut-ikutan diserang. Ada yang luka-luka lagi,"" ujarnya.
Sebelumnya, militer Israel menyerang Markas Besar Pasukan Perdamaian PBB (UNIFIL) di Naqoura, Lebanon. Dua prajurit TNI yang bertugas sebagai Pasukan Perdamaian PBB terluka akibat serangan itu.
UNIFIL menyatakan eskalasi di sepanjang Garis Biru (Blue Line) menyebabkan kerusakan luas di kota-kota dan desa-desa di Lebanon selatan. Garis Biru ialah garis pemisah Lebanon dari Israel dan Dataran Tinggi Golan.
UNIFIL menyampaikan Tentara Pasukan Pertahanan Israel (IDF) terlibat bentrok dengan Hizbullah di darat di Lebanon. Markas besar UNIFIL Naqoura dan posisi-posisi di dekatnya juga berulang kali diserang.
Sementara itu, Indonesia turut merespons serangan ini. Presiden Jokowi mengatakan keadaan perang memang seperti itu.
""Memang keadaannya dalam perang seperti itu,"" kata Jokowi kepada wartawan di Ibu Kota Nusantara (IKN), Jumat (11/10/2024) seperti dikutip dari detikNews.
Jokowi mengatakan dua prajurit TNI tersebut mengalami luka ringan. Dia mengatakan perlu berhati-hati dalam medan pertempuran. ""Jadi kalau ada yang terkena, luka ringan ya itu yang perlu kita semua hati-hati, terutama yang ada di sana,"" tuturnya."
Jokowi Sudah Teken Nama Capim-Cadewas KPK Kemarin: Kita Dibatasi Waktu	Eva Safitri - detikNews	Selasa, 15 Okt 2024 15:05 WIB	"Presiden Joko Widodo (Jokowi) mengaku sudah menandatangani laporan hasil akhir calon pimpinan dan calon dewan pengawas KPK yang diserahkan Pansel. Penandatanganan itu dilakukan Jokowi kemarin.
""Capim KPK sudah saya tanda tangani kemarin sore,"" kata Jokowi kepada wartawan di Aceh Besar, Selasa (15/10/2024).
Jokowi tidak menjawab kapan nama-nama itu diserahkan ke DPR. Ia menekankan dirinya menandatangani laporan tersebut karena dibatasi waktu.
""Sudah saya tanda tangani, kalau calonnya, baik calon untuk capimnya maupun untuk dewasnya, kita dibatasi oleh waktu,"" ujarnya.
Pansel KPK menyerahkan 20 nama capim dan cadewas KPK kepada Jokowi pada Selasa (1/10). Dokumen nama-nama itu diterima Jokowi di Lanud Halim Perdanakusuma sesaat sebelum berangkat ke Nusa Tenggara Timur (NTT).
""⁠Pada hari ini, Selasa, 1 Oktober 2024, pukul 13.00 WIB, Bapak Presiden telah menerima Panitia Seleksi Capim KPK dan Calon Dewas KPK di Ruang Holding, Base Off Lanud Halim Perdana Kusuma,"" kata Koordinator Stafsus Presiden, Ari Dwipayana, kepada wartawan, Selasa (1/10/2024).
Berikut Daftar 20 nama capim dan cadewas KPK yang diserahkan ke Jokowi:
Capim KPK1. Agus Joko Pramono2. Ahmad Alamsyah Saragih3. Djoko Poerwanto4. Fitroh Rohcahyanto5. Ibnu Basuki Widodo6. Ida Budhiati7. Johanis Tanak8. Michael Rolandi Cesnanta Brata9. Poengky Indarti10. Setyo Budiyanto
Dewas KPK1. Benny Jozua Mamoto2. Chisca Mirawati3. Elly Fariani4. Gusrizal5. Hamdi Hassyarbaini6. Heru Kreshna Reza7. Iskandar Mz8. Mirwazi9. Sumpeno10. Wisnu Baroto

Simak: Daftar 20 Nama Capim KPK yang Lolos Profile Assessment
[Gambas:Video 20detik]"
Jokowi Yakin Prabowo Sudah Matang Pilih Sri Mulyani-Airlangga Jadi Menteri Lagi	Herdi Alif Al Hikam - detikFinance	Selasa, 15 Okt 2024 15:18 WIB	"Presiden Joko Widodo (Jokowi) mengungkapkan presiden terpilih Prabowo Subianto tidak main-main saat memilih beberapa menterinya saat ini untuk dijadikan menteri lagi di kabinet berikutnya. Dia yakin Prabowo sudah melakukan pertimbangan yang matang untuk hal tersebut.
Kemarin beberapa menteri Jokowi khususnya di tim ekonomi banyak yang dipanggil ke kediaman Prabowo Subianto dan diminta untuk jadi menteri lagi. Mulai dari Menteri Keuangan Sri Mulyani Indrawati, Menko Perekonomian Airlangga Hartarto, Menteri BUMN Erick Thohir, Menteri Perdagangan Zulkifli Hasan, dan lain sebagainya.
""Mengenai kurang lebih 15 atau 16 menteri di kabinet sekarang yang juga dipilih oleh bapak Prabowo Subianto itu juga saya kira melalui pertimbangan matang, melalui seleksi-seleksi,"" ungkap Jokowi usai meresmikan Amanah Creative Hub Aceh, Selasa (15/10/2024).
Eks Gubernur DKI Jakarta itu juga mengatakan Prabowo pasti memilih Sri Mulyani cs untuk dijadikan menteri lagi karena melihat pengalaman interaksi selama lima tahun ke belakang.
Seperti diketahui, Prabowo sendiri memang merupakan bagian dari Kabinet Indonesia Maju pimpinan Jokowi. Prabowo menjabat sebagai Menteri Pertahanan.
""Ini juga pasti melalui pengalaman beliau bergaul dan berinteraksi selama 5 tahun,"" sebut Jokowi."
Jokowi Kutuk Keras Serangan Israel di UNIFIL: Pasukan Perdamaian Kok Diserang	Eva Safitri - detikNews	Selasa, 15 Okt 2024 15:50 WIB	"Presiden Joko Widodo (Jokowi) mengutuk keras serangan Israel ke markas pasukan sementara PBB di Lebanon (UNIFIL), yang berada di Naqoura, Lebanon. Jokowi mengatakan hal itu seharusnya tak terjadi.
""Indonesia mengutuk keras serangan Israel baik ke Gaza, baik ke Lebanon, dan yang terakhir ke UNIFIL di Lebanon,"" kata Jokowi kepada wartawan di Aceh Besar, Aceh, Selasa (15/10/2024).
Jokowi prihatin dengan pasukan perdamaian yang juga menjadi target serangan. Ditambah ada prajurit yang terluka.
""Mengutuk keras, nggak boleh itu, yang namanya pasukan perdamaian kok ikut ikutan diserang, ada yang luka lagi,"" ujarnya.
Militer Israel kembali melancarkan serangan ke markas pasukan penjaga perdamaian PBB (UNIFIL) di Naqoura, Lebanon selatan. Dua prajurit perdamaian dilaporkan terluka.
""Dua penjaga perdamaian terluka setelah dua ledakan terjadi di dekat menara observasi. Seorang penjaga perdamaian yang terluka dibawa ke rumah sakit di Tyre, sementara yang kedua dirawat di Naqoura,"" tulis keterangan UNIFIL dilansir Aljazeera, Jumat (11/10/2024).
Serangan itu terjadi pada hari ini waktu setempat. Ini merupakan serangan kedua tentara Israel ke markas UNIFIL di Lebanon selama 48 jam terakhir.
UNIFIL mengatakan beberapa dinding posisi di pos PBB runtuh setelah buldoser militer Israel menghantam perimeter dan sejumlah tank Israel bergerak di dekat pos PBB. Di satu sisi, pasukan penjaga perdamaian PBB masih berada di posisinya dan meminta bala bantuan tiba.
""Setiap serangan yang disengaja terhadap pasukan penjaga perdamaian merupakan pelanggaran berat terhadap hukum kemanusiaan internasional dan resolusi Dewan Keamanan 1701 (2006),"" tulis UNIFIL."
Jokowi Napak Tilas ke Sekolah, dari SD hingga SMA	Tim detikNews - detikSumut	Sabtu, 12 Okt 2024 23:30 WIB	"Presiden Joko Widodo (Jokowi) melakukan agenda napak tilas ke sekolah-sekolahnya di Solo, Jawa Tengah. Jokowi mengunjungi SD hingga SMA-nya serta reuni bersama teman-teman semasa sekolahnya.
Dilansir detikSumut, Sabtu (12/10/2024), akhir pekan ini Jokowi pulang ke Solo. Dalam agendanya di Solo, ia menyempatkan diri berkunjung ke SDN Tirtoyoso 111 di Kecamatan Banjarsari, Kota Solo, yang merupakan sekolahnya dulu.
Jokowi tiba di SD tersebut,, sekitar pukul 08.10 WIB. Para guru di sekolah tersebut pun menyambut kedatangan orang nomor 1 di Indonesia itu.
'Selamat Datang Bapak Ir Joko Widodo Alumni SDN Tirtoyoso Kota Surakarta Tahun 1973'. tulis sebuah spanduk yang dipasang di sekolah tersebut. Ada juga beberapa foto Jokowi dan kutipan dari Jokowi di spanduk itu.
Jokowi mengenakan kemeja putih dan celana kain hitam. Ia bercakap-cakap dengan para guru di SDN tersebut. Tampak juga sejumlah siswa juga mengerubungi Jokowi. Mereka juga mengerumuni Jokowi untuk bersalaman.
Setelah pagi tadi menyambangi SDN 111 Tirtoyoso di Kecamatan Banjarsari, Jokowi lalu berkunjung ke SMPN 1 Solo. Jokowi tiba di SMPN 1 Solo pada Sabtu (12/10) sekitar pukul 08.30 WIB. Jokowi juga disambut guru dan siswa di sekolah tersebut.
Dilansir detikJateng, Kepala SMPN 1 Solo Sri Wuryanti mengatakan Jokowi menyampaikan pesan kepada para guru agar mendidik siswa soal akhlak mulia.
""Yang disampaikan beliau (Jokowi) kepada kami, guru-guru, harus mendidik anak-anak berakhlak mulia. Itu yang nomor satu,"" katanya.
Jokowi juga duduk di bangku siswa kelas 9 C dan bercerita dulu satu meja belajar dipakai untuk dua siswa.
""Beliau mengatakan 'dulu mejanya untuk dua orang'. Sekarang satu meja satu anak,"" kata Wuryanti.
Menurut Wuryanti, Jokowi mengaku melakukan napak tilas karena kangen masa-masa sekolahnya.
""Beliau kangen, 'tiba-tiba kok saya ingin ke SD, SMP, SMA',"" ungkap Wuryanti menirukan ucapan Jokowi.
Setelah itu Jokowi juga berkunjung ke SMAN 6 Solo di Kelurahan Nusukan, Kecamatan Banjarsari yang juga merupakan sekolahnya. Di SMAN 6, Jokowi juga bertemu dengan puluhan teman seangkatannya. Jokowi juga meninjau ruang kelasnya dulu.
""Ini rangkaian kegiatannya Pak Presiden di Solo. Yang saya tahu beliau datang ke SD, SMP, SMA. Beliau membuka memori kembali, kan dalam waktu dekat beliau mundur. Mungkin mengingat kembali teman-teman yang dulu bergerak bersama-sama waktu SD, SMP, SMA. Kalau kuliahnya kan di Jogja, itu diajak ketemu,"" kata teman seangkatan Jokowi, Sudirman dilansir detikJateng, Sabtu (12/10/2024).
Sekitar 75 teman seangkatan Jokowi hadir di SMAN 6 Solo. Sudirman mengatakan, sudah dua kali Jokowi hadir di acara reuni SMA."
Jawaban Jokowi Ditanya Ikut-ikut Urusan Kabinet Prabowo	Isal Mawardi - detikSumbagsel	Jumat, 11 Okt 2024 20:40 WIB	"Presiden Joko Widodo (Jokowi) menegaskan tak mengintervensi urusan kabinet Prabowo Subianto. Jokowi akan bicara kalau dimintai pendapatnya.
""Saya ikut-ikut intervensi? Ndak, saya juga tidak mau diintervensi untuk urusan hak prerogatif. Jadi sama, saya tidak ingin ikut-ikutan. Tapi, kalau ditanya, ya saya jawab, kalau ditanya. Kalau nggak ditanya, ya saya nggak akan jawab,"" kata Jokowi dalam acara Kompas 100 CEO Forum di IKN seperti ditayangkan akun YouTube Sekretariat Presiden, Jumat (11/10/2024).
Jokowi mencontohkan bila dirinya ditanya soal sosok Andre Rosiade, Jokowi akan mengutarakan pendapatnya. Jokowi menegaskan ia tak mau hak prerogatifnya sebagai presiden diintervensi siapa pun. Andre Rosiade merupakan Ketua DPD Gerindra Sumatera Barat.
""Pak, gimana ini menurut Bapak, Pak Andre Rosiade? Nah saya jawab, kalau nggak, yaa ndak, ndak, ndak, meskipun kemarin kita (dengan Prabowo) makan malam 2,5 jam. Kalau nggak ditanya, ya nggak. Karena sama saya tidak mau hak prerogatif saya diintervensi siapa pun,"" jelasnya.
Seperti diketahui, Jokowi dan Prabowo sempat makan malam berdua pada Selasa (8/10). Pertemuan itu berlangsung selama sekitar 2,5 jam.
Ia meminta masyarakat menunggu siapa saja yang akan ditunjuk Prabowo untuk masuk ke dalam kabinetnya.
""Nanti, ditunggu saja di hari Senin, seminggu lagi, menteri-menterinya yang dilantik, kalau mau tahu menteri-menterinya siapa, tanya ke Ahmad Muzani (Sekjen Gerindra). Jangan tanya ke saya yang berkaitan dengan itu, karena orang akan langsung negativisme lagi,"" ujar Jokowi."
Kabinet Prabowo Rasa Jokowi	Firda Cynthia Anggrainy, Maulana Ilhami Fawdi - detikNews	Selasa, 15 Okt 2024 07:03 WIB	"Presiden terpilih Prabowo Subianto telah memanggil 49 nama berkaitan dengan calon menteri di kabinetnya ke Kertanegara. Dari 49 nama itu, ada belasan nama yang ternyata menteri-menteri di kabinet Presiden Joko Widodo (Jokowi).
Prabowo memanggil puluhan nama untuk merapat ke kediamannya di Kertanegara, Jakarta Selatan, Senin (14/10), sejak pukul 14.00 WIB. Pemanggilan para calon menteri itu baru rampung pada malam hari.
Prabowo pun mengakui pemanggilan itu memang berkaitan dengan pembentukan kabinetnya. Dia lantas menjelaskan bahwa semua tokoh yang diundang ke kediamannya hari ini telah menyatakan kesediaannya menjadi menteri.
""Mereka sudah menyatakan bersedia membantu saya. Jadi sebetulnya hari ini hanya mengkonfirmasi, saya konfirmasi, saya yakinkan mereka bersedia atau tidak bantu saya di bidang yang saya tawarkan kepada mereka,"" kata Prabowo di Kertanegara, Jakarta Selatan, Senin (14/10/2024).
""Alhamdulillah semuanya menyatakan sanggup,"" sambungnya.
Prabowo juga memberikan sejumlah arahan kepada calon menteri yang datang ke kediamannya hari ini. Menurut Prabowo, para menteri di kabinetnya nanti harus mengedepankan semangat kerja secara tim.
""Saya memberi beberapa penekanan, kira-kira ya arah kebijakan kita, secara garis besar saya puas ya dan suasana sangat baik, semuanya mengerti bahwa kita harus bekerja dengan baik, bekerja dengan keras, bekerja sebagai tim dalam suasana dunia penuh ketidakpastian. Kita benar-benar harus bekerja dengan teamwork yang sangat baik,"" ujar Prabowo.

Simak Video: 13 Menteri Jokowi Dipanggil Prabowo, Dari Sri Mulyani hingga Pratikno

[Gambas:Video 20detik]

Baca berita lengkapnya di halaman berikutnya."
Jokowi Langsung ke Solo Pakai Pesawat Komersial Setelah Prabowo Dilantik	Tim detikFinance - detikBali	Selasa, 15 Okt 2024 10:13 WIB	"Menteri Komunikasi dan Informatika (Menkominfo) Budi Arie Setiadi mengungkapkan Presiden Joko Widodo (Jokowi) akan langsung pulang ke Solo setelah Prabowo Subianto dilantik. Jokowi akan terbang menggunakan pesawat Citilink pada 20 Oktober mendatang.
""Citilink ya,"" kata Menteri Komunikasi dan Informatika Budi Arie Setiadi, Senin (14/10/2024) dikutip dari detikFinance.
Bocoran dari Budi Arie, rencananya Jokowi akan naik pesawat komersial dari Halim ke Bandara Adi Sumarmo Solo pada pukul 15.00 WIB.
""Naik pesawat dari Halim jam 15.00 WIB tanggal 20 Oktober 2024,"" ungkap Budi Arie.
Sejauh ini dari pantauan detikcom lewat online travel agent, maupun situs resmi Citilink, tidak ada jadwal penerbangan yang disebut Budi Arie pada 20 Oktober 2024.
Ketika ditanya kemungkinan apakah Jokowi akan melakukan charter pesawat, Budi Arie mengelak. ""Nanti umum,"" katanya singkat.
detikcom juga sudah mencoba melakukan konfirmasi ke maskapai Citilink soal kabar akan digunakan Jokowi ke Solo, namun belum mendapatkan jawaban.
Sementara itu, Direktur Utama Garuda Indonesia Irfan Setiaputra mengaku sampai sekarang belum tahu soal rencana Jokowi akan menggunakan Citilink untuk mudik ke Solo. Garuda Indonesia sendiri adalah induk usaha Citilink.
""Nggak ada info tuh,"" kata Irfan singkat ketika dikonfirmasi langsung detikcom.
Baca selengkapnya di sini"
			
Jokowi Minta Prabowo Pakai Istana di IKN buat Acara Negara	Herdi Alif Al Hikam - detikFinance	Jumat, 11 Okt 2024 17:36 WIB	"Presiden Joko Widodo (Jokowi) baru saja meresmikan Istana Negara di Ibu Kota Nusantara (IKN), Kalimantan Timur. Jokowi yang masa jabatannya segera habis akhir bulan ini berharap agar pemerintah Prabowo Subianto-Gibran Rakabuming Raka bisa memaksimalkan fungsi Istana di IKN.
Dia berharap agar semua kegiatan-kegiatan besar kenegaraan bisa dilakukan di IKN usai Prabowo menjabat. Terlebih lagi melihat kawasan pusat pemerintah yang mulai terbentuk, Istana Negara saja sudah diresmikan dan siap digunakan.
""Kita harap nanti kegiatan-kegiatan kenegaraan yang besar yang butuh tempat gede bisa dilakukan di sini, di IKN,"" sebut Jokowi usai meresmikan Istana Negara IKN, Jumat (11/10/2024).
Usai purna tugas, Jokowi menyatakan dirinya akan tetap rutin berkunjung ke ibu kota baru Nusantara. Sayangnya dia tidak merinci untuk kebutuhan apa dirinya ke IKN.
""Oh nanti rutin,"" jawab Jokowi singkat ketika ditanya apakah masih akan berkunjung ke IKN setelah purna tugas.
Jokowi juga mengungkapkan kualitas Istana Negara di IKN sangat bagus. Baik dari interiornya hingga urusan pengecatannya semua dilakukan dengan baik.
""Kalau dari sisi kualitas saya harus ngomong apa adanya ya, bagus, bagus. Finishing-nya bagus, pengecatan bagus, sampai detail-detail ukirannya bagus, saya kira kualitasnya bagus,"" ujar Jokowi.
Simak: Penegasan Prabowo Lanjutkan Pembangunan-Ingin Cepat Berkantor di IKN
[Gambas:Video 20detik]"
Jokowi Sebut Bakal Rutin Kunjungi IKN Usai Lengser	Herdi Alif Al Hikam - detikFinance	Jumat, 11 Okt 2024 15:33 WIB	"Ibu Kota Nusantara (IKN) di Kalimantan Timur merupakan mega proyek perpindahan ibu kota yang dibesut Presiden Joko Widodo (Jokowi). Di sisi lain, Jokowi sendiri akan selesai masa jabatannya pada akhir bulan ini.
Usai purna tugas, Jokowi sendiri menyatakan dirinya akan tetap rutin berkunjung ke ibu kota baru Nusantara. Sayangnya dia tidak merinci untuk kebutuhan apa dirinya ke IKN.
""Oh nanti rutin,"" jawab Jokowi singkat ketika ditanya apakah masih akan berkunjung ke IKN setelah purna tugas, usai meresmikan Istana Negara IKN, Jumat (11/10/2024).
Jokowi sendiri sempat mengungkapkan harapannnya agar semua kegiatan-kegiatan besar kenegaraan bisa dilakukan di IKN. Terlebih lagi melihat kawasan pusat pemerintah yang mulai terbentuk, Istana Negara saja sudah diresmikan dan siap digunakan.
""Kita harap nanti kegiatan-kegiatan kenegaraan yang besar yang butuh tempat gede bisa dilakukan di sini , di IKN,"" sebut Jokowi."
Jokowi Akan Bawa Koleksi Kambing Pulang ke Solo Usai Pensiun	Rizky Adha Mahendra - detikNews	Jumat, 11 Okt 2024 15:22 WIB	"Presiden Joko Widodo (Jokowi) akan ke Solo seusai pelantikan presiden dan wakil presiden terpilih, Prabowo Subianto dan Gibran Rakabuming Raka. Saat ini 70 persen barang Jokowi telah dibawa ke Solo.
""Sudah 70 persen barang-barang sudah dibawa dengan boks ke Solo,"" kata Jokowi kepada wartawan di Ibu Kota Nusantara (IKN), Jumat (11/10/2024).
Jokowi mengatakan koleksi kambingnya saat ini belum dibawa ke Solo. Namun dia mengatakan akan membawanya nanti.
""Kambingnya belum, tapi segera juga. Kambingnya 5 jadi 43,"" tuturnya.
Diketahui, pelantikan presiden dan wakil presiden terpilih, Prabowo Subianto dan Gibran Rakabuming Raka, tinggal menghitung hari. Presiden Joko (Widodo) Jokowi dipastikan hadir dalam acara tersebut.
Jokowi akan langsung pergi ke Solo seusai acara pelantikan. Setelahnya, dia akan beraktivitas di Solo.
""Tanggal 20 Oktober sore saya pulang ke Solo,"" kata Jokowi setelah menghadiri BNI Investor Daily, JCC, Senayan, Jakarta, Selasa (8/10).
Jokowi tidak menyebut rinci kegiatan yang akan dilakukan seusai pelantikan presiden. Ia berkelakar akan tidur terlebih dahulu.
""Pulang ke Solo dulu, tidur,"" ujarnya."
Jokowi Soroti Tambahan Waktu Bahrain Vs Indonesia: Gondok Banget!	Rizky Adha Mahendra - detikNews	Jumat, 11 Okt 2024 16:59 WIB	"Presiden Joko Widodo (Jokowi) menanggapi hasil pertandingan sepakbola Bahrain vs Timnas Indonesia dalam lanjutan Kualifikasi Piala Dunia 2026. Jokowi mengaku gondok dengan hasil 2-2 dalam pertandingan itu.
""Ya kalau boleh dibilang ya gondok banget,"" kata Jokowi, kepada wartawan di Ibu Kota Nusantara (IKN), Jumat (11/10/2024).
Jokowi menjelaskan alasan mengapa dirinya gondok. Dia mengatakan waktu tambahan seharusnya 6 menit, namun wasit tak kunjung meniup peluit panjang hingga 9 menit.
""Ya gimana, wong sudah 2-1 ya kan, ada tambahan 6 menit. Tapi sudah 9 menit tapi belum dibunyikan, dan pada detik terakhir gol,"" tuturnya.
Diketahui, timnas Indonesia gagal meraih kemenangan saat menghadapi Bahrain di Kualifikasi Piala Dunia 2026 karena kontroversi tambahan waktu.
Bahrain vs Indonesia bertemu pada matchday ketiga Grup C kualifikasi Piala Dunia 2026 Zona Asia. Pertandingan digelar di Bahrain National Stadium, Kamis (10/10) malam WIB.
Tim tuan rumah unggul lebih dulu lewat gol Mohamed Marhoon. Indonesia menyamakan kedudukan melalui Ragnar Oratmangoen jelang babak pertama berakhir.
Indonesia berbalik unggul pada babak kedua lewat gol Rafael Struick. Bahrain selamat dari kekalahan lewat gol menit akhir Marhoon. Skor tuntas 2-2.

Simak Video 'Rugikan Timnas Indonesia, Akun Instagram Ahmed Al-Kaf Lenyap':

[Gambas:Video 20detik]

Saksikan juga Sosok: Etno-Elektrik Sasando, Upaya Ganzerlana Lestarikan Musik Etnik
[Gambas:Video 20detik]"
			
			
